	x		e^-x		(e^-x)'
      1.74	      0.18	     -0.18
      1.75	      0.17	     -0.17
      1.76	      0.17	     -0.17
      1.77	      0.17	     -0.17
      1.78	      0.17	     -0.17
      1.79	      0.17	     -0.17
      1.80	      0.17	     -0.17
      1.81	      0.16	     -0.16
      1.82	      0.16	     -0.16
      1.83	      0.16	     -0.16
      1.84	      0.16	     -0.16
      1.85	      0.16	     -0.16
      1.86	      0.16	     -0.16
      1.87	      0.15	     -0.15
      1.88	      0.15	     -0.15
      1.89	      0.15	     -0.15
      1.90	      0.15	     -0.15
      1.91	      0.15	     -0.15
      1.92	      0.15	     -0.15
      1.93	      0.15	     -0.15
      1.94	      0.14	     -0.14
      1.95	      0.14	     -0.14
      1.96	      0.14	     -0.14
      1.97	      0.14	     -0.14
      1.98	      0.14	     -0.14
      1.99	      0.14	     -0.14
      2.00	      0.14	     -0.14
      2.01	      0.13	     -0.13
      2.02	      0.13	     -0.13
      2.03	      0.13	     -0.13
      2.04	      0.13	     -0.13
      2.05	      0.13	     -0.13
      2.06	      0.13	     -0.13
      2.07	      0.13	     -0.13
      2.08	      0.12	     -0.13
      2.09	      0.12	     -0.12
      2.10	      0.12	     -0.12
      2.11	      0.12	     -0.12
      2.12	      0.12	     -0.12
      2.13	      0.12	     -0.12
      2.14	      0.12	     -0.12
      2.15	      0.12	     -0.12
      2.16	      0.12	     -0.12
      2.17	      0.11	     -0.11
      2.18	      0.11	     -0.11
      2.19	      0.11	     -0.11
      2.20	      0.11	     -0.11
      2.21	      0.11	     -0.11
      2.22	      0.11	     -0.11
      2.23	      0.11	     -0.11
      2.24	      0.11	     -0.11
      2.25	      0.11	     -0.11
      2.26	      0.10	     -0.10
      2.27	      0.10	     -0.10
      2.28	      0.10	     -0.10
      2.29	      0.10	     -0.10
      2.30	      0.10	     -0.10
      2.31	      0.10	     -0.10
      2.32	      0.10	     -0.10
      2.33	      0.10	     -0.10
      2.34	      0.10	     -0.10
      2.35	      0.10	     -0.10
      2.36	      0.09	     -0.09
      2.37	      0.09	     -0.09
      2.38	      0.09	     -0.09
      2.39	      0.09	     -0.09
      2.40	      0.09	     -0.09
